X	logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL	significance	delabel
(-)3xSLv1	-0.0643943325551972	2.97107581720176	-0.333766005250342	0.739164045515288	0.88053954367292	-6.67454909961097	NA	Not_significant	NA
(+)E1A_r60_1	-0.0837956191168843	16.6075149342105	-1.36521882749604	0.174849368166507	0.40557813275161	-5.81058846145119	NA	Not_significant	NA
(+)E1A_r60_3	-0.14595670953195	2.19610606459292	-1.04715078330849	0.297245423511595	0.554481989153265	-6.18451953722119	NA	Not_significant	NA
(+)E1A_r60_a104	0.000938938564287284	2.21460042397368	0.00699387994979874	0.994431856228759	0.998531650574005	-6.72989599137568	NA	Not_significant	NA
(+)E1A_r60_a107	-0.300839554584416	3.9499576154386	-1.7356967093288	0.0852963327628935	0.25510571108979	-5.25131107378777	NA	Not_significant	NA
(+)E1A_r60_a135	-0.220855581061687	6.84324058311404	-1.66715053947579	0.0982059683361509	0.280194947058078	-5.36441646563975	NA	Not_significant	NA
(+)E1A_r60_a20	-0.194431082530519	8.2173995218421	-1.45382325479026	0.148719320024767	0.367300335889474	-5.6885158701845	NA	Not_significant	NA
(+)E1A_r60_a22	-0.230574490929877	9.71123276250877	-1.76116535686415	0.0808686441591181	0.246112163157502	-5.20818498283908	NA	Not_significant	NA
(+)E1A_r60_a97	-0.229380798584417	12.3847821389474	-1.97875969156916	0.0502336858637004	0.177047352127392	-4.81564274881349	NA	Not_significant	NA
(+)E1A_r60_n11	-0.210810361590907	13.8339678027193	-1.7226421839986	0.0876416986367956	0.259625207521735	-5.27318540705206	NA	Not_significant	NA
(+)E1A_r60_n9	-0.129993290071427	14.9455399262281	-1.58240993796074	0.116302757506739	0.313176301208587	-5.49823776675884	NA	Not_significant	NA
A_23_P100001	0.0224203991902616	8.67340192457895	0.290030648138967	0.772315165204032	0.897269045669166	-6.68810456957889	FAM174B	Not_significant	NA
A_23_P100022	-0.307059086510392	8.5217980585614	-3.26612080084363	0.00143722872029548	0.0116412201349786	-1.66009755897344	SV2B	Not_significant	NA
A_23_P100056	0.509680598179869	6.73005933928947	4.1436363817214	6.5588551110199e-05	0.00091305652487354	1.21999964434989	RBPMS2	Upregulated	RBPMS2
A_23_P100074	0.118224812824671	9.08844017563158	2.31106771248868	0.0226111239824412	0.100081379839475	-4.13453395410399	AVEN	Not_significant	NA
A_23_P100127	-0.0244380013194778	5.99809337080702	-0.272948095488453	0.785382713717093	0.903659550117161	-6.69288375883785	CASC5	Not_significant	NA
A_23_P100141	-0.0436312207662333	8.0767493959386	-0.722118343757435	0.471687722072728	0.714908084823325	-6.47119841650379	UNKL	Not_significant	NA
A_23_P100189	0.0520619707545431	3.97820104632456	0.488692831250904	0.625989940713004	0.819316234000113	-6.61128114313956	PRM1	Not_significant	NA
A_23_P100196	0.0790523607253242	9.82100374668421	2.08795763314601	0.039009678562154	0.148534813328898	-4.60258324714232	USP10	Not_significant	NA
A_23_P100203	0.119797348670129	9.49180301027193	2.98378446689651	0.00347779089366101	0.0237641973995002	-2.46784271932267	HSBP1	Not_significant	NA
A_23_P100220	-0.259682010883122	10.7675984366228	-3.73398176488042	0.000294756513177542	0.0032071311544013	-0.190981943141827	ESRP2	Not_significant	NA
A_23_P100240	0.265099609788462	2.9607753322	1.5252406160068	0.130177691534934	0.337052342638426	-5.54340687639088	CDH16	Not_significant	NA
A_23_P10025	-0.318816579957145	8.87097093935965	-1.77417984078927	0.0786801278376397	0.241798518828665	-5.18591794208432	NELL2	Not_significant	NA
A_23_P100292	0.00526531604545255	12.2458666917544	0.124919729630039	0.900805231345919	0.958029075211416	-6.72216060981432	ZNF598	Not_significant	NA
A_23_P100315	0.11108230061493	10.2206078833158	1.93365949081707	0.0556129696193882	0.190446713054095	-4.90052461121438	DECR2	Not_significant	NA
A_23_P100326	0.139783342050647	9.84455953556141	1.87753539403077	0.0629785505125599	0.207574278807518	-5.00359310235258	NPRL3	Not_significant	NA
A_23_P100344	-0.00823343228181983	5.58025587236842	-0.10090295360422	0.919803229087317	0.966272921892831	-6.72485739275684	ORC6	Not_significant	NA
A_23_P100355	0.00349650559025427	9.95781302041228	0.0499048140173972	0.960284825422529	0.983760250339688	-6.72868182416678	PPP4C	Not_significant	NA
A_23_P100386	0.0764196530519463	7.08378052295614	0.925384280935581	0.35670411623114	0.615849447791284	-6.3056696116125	IL34	Not_significant	NA
A_23_P100392	-0.0157540488844177	8.5465593254386	-0.245111555872164	0.80680696679217	0.91498483610963	-6.70005097463913	TCEB2	Not_significant	NA
A_23_P100420	-0.0217640046409109	10.2130033513421	-0.484079064560089	0.629250460533856	0.820988262182108	-6.61350842215222	ZCCHC14	Not_significant	NA
A_23_P100441	-0.0391764535603887	9.36111706183334	-1.14200908973995	0.255822771101234	0.509111135076624	-6.08505876760401	FAM192A	Not_significant	NA
A_23_P100455	0.114025548212336	6.4149981381579	1.62269741925433	0.107392734776577	0.297759167328959	-5.43544703513309	MTHFSD	Not_significant	NA
A_23_P100486	0.189626300883118	10.9860192268421	3.03886945279893	0.00293999656170409	0.0206952409391229	-2.31509074269193	VKORC1	Not_significant	NA
A_23_P100499	-0.0196213743545472	5.59511340713158	-0.247132793332265	0.805246163163282	0.914078791745787	-6.69955645990291	ROGDI	Not_significant	NA
A_23_P100501	0.08491838701039	10.4382383280351	1.40561359893298	0.162535163699183	0.38810293265562	-5.75585460047036	HMOX2	Not_significant	NA
A_23_P100517	0.0532776844090916	7.18120692071052	1.03226423240095	0.304114635536834	0.561083825692689	-6.20249352773985	TMEM170A	Not_significant	NA
A_23_P100539	0.194943468901946	4.69709852286842	1.64924538734817	0.101826788239577	0.287396448813556	-5.39324675684516	ABCC6	Not_significant	NA
A_23_P100583	-0.123632764694446	2.48884917104124	-0.602450223744132	0.548266170448133	0.76904983814512	-6.46293407285212	LPO	Not_significant	NA
