ENTREZID	logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL	significance	delabel
1	0.107991568658213	1.99387905534386	0.505350486489038	0.614906439074514	0.748742621967193	-6.48014984070573	A1BG	Not_significant	NA
100	-0.24819268817237	3.99877858419705	-1.45260636466755	0.150818644769081	0.294257880837785	-5.74687770801719	ADA	Not_significant	NA
1000	-0.093525284488811	-1.82095399674141	-0.295005468535968	0.768866329423104	0.857670436627453	-6.08961253689314	CDH2	Not_significant	NA
10000	-0.011289974974128	1.71858377596255	-0.0786357904853028	0.937547559452082	0.964218992126333	-6.59322219945729	AKT3	Not_significant	NA
100008587	1.24697184055978	1.55889975679612	1.88519685875214	0.0635705125903438	0.159963021756217	-4.74089223374376	RNA5-8SN5	Not_significant	NA
100008588	1.04549949386985	10.2374805080362	2.54715292565129	0.0130697354622088	0.0507442173754207	-3.54706590865588	RNA18SN5	Not_significant	NA
100008589	1.26716687143235	11.2235524082816	2.80731663229106	0.00647285821866607	0.0298903209292378	-2.87792514857518	RNA28SN5	Upregulated	RNA28SN5
100009676	0.0091154146095786	0.0273352044699341	0.0820582443019023	0.934835504551833	0.9624826763205	-6.35621557676314	ZBTB11-AS1	Not_significant	NA
10001	-0.237205658762787	2.58035521416878	-3.29841295596072	0.00153303297939814	0.010276630167091	-1.64997359133461	MED6	Not_significant	NA
10003	0.693415188479704	-2.23006200427132	2.55784122736434	0.0127088353555534	0.0497315595553969	-3.05592965350114	NAALAD2	Upregulated	NAALAD2
100034743	-0.660623818273116	-2.97776064463362	-3.19371447792683	0.00210903077481335	0.0130416006181636	-1.49130957731375	PDZK1P1	Downregulated	PDZK1P1
100037417	0.060467578848419	3.83333625441292	0.31943996237659	0.750348037191242	0.845130756884935	-6.72363633137439	DDTL	Not_significant	NA
10004	-0.164468378991328	2.83161576063986	-0.824041352033222	0.412725993280937	0.58136292743342	-6.37154185568125	NAALADL1	Not_significant	NA
100048912	0.86263356222912	-3.52342154682394	2.86831143767468	0.00545557530904252	0.0262903268653081	-2.2548623641507	CDKN2B-AS1	Upregulated	CDKN2B-AS1
100049076	0.345033242844964	-1.89815521009475	2.02761035081993	0.0464235704083696	0.128005907540239	-4.17590917105514	GUSBP17	Not_significant	NA
100049587	-0.105419892212554	6.24513276482153	-0.518046037534498	0.606066115209044	0.742041321687167	-6.65138896496044	SIGLEC14	Not_significant	NA
100049716	-0.0891616295005289	2.56876357006468	-0.767424225621587	0.44542032986216	0.609798907352735	-6.39545882664932	NINJ2-AS1	Not_significant	NA
10005	0.00761260536393671	3.7493231296036	0.0454017995149938	0.963916828402104	0.97951998826249	-6.77046097537955	ACOT8	Not_significant	NA
10006	-0.118024878186567	4.36963317545869	-0.743109608158	0.459911844024551	0.62321023012209	-6.5230561482485	ABI1	Not_significant	NA
10007	-0.273255619683806	3.30247738076528	-3.61327039535749	0.000566465848498234	0.0049511140154253	-0.772926213412404	GNPDA1	Not_significant	NA
10008	0.0513861533540023	5.32107552115009	0.438466121783218	0.662403982637877	0.784675898989366	-6.70883927338598	KCNE3	Not_significant	NA
10009	0.474703771835446	2.03498178667237	2.4520840487218	0.0167103365362901	0.060813057876487	-3.73759388013053	ZBTB33	Not_significant	NA
100093630	1.25977280990153	2.09992262849698	5.65534843561293	3.17156450881944e-07	1.69838650440585e-05	6.4712435225383	SNHG8	Upregulated	SNHG8
100093631	0.00437967039233911	5.32951001929165	0.052883259350945	0.95797614562662	0.976486665377092	-6.80321254626316	GTF2IP4	Not_significant	NA
10010	0.258094245088222	3.45795061670474	1.07170832566092	0.287546595056126	0.457386648633191	-6.1834024852942	TANK	Not_significant	NA
100101148	-0.643440656089311	-0.857428119350247	-5.35799248622602	1.0276456915217e-06	3.994918878631e-05	5.41619774970259	FKBP6P1	Downregulated	FKBP6P1
100101267	-0.407419335441028	4.51638716201305	-3.72500614238177	0.000392926320794029	0.0037525058521029	-0.468407204292424	POM121C	Not_significant	NA
100101440	-0.106347447772989	-1.20403959793279	-1.01612825874539	0.313081351173444	0.484544043849823	-5.70424278157277	PMS2P7	Not_significant	NA
100101467	-0.0923029467326426	0.417488409032604	-0.488102409926523	0.627008763865177	0.756514307521766	-6.31491803094065	ZSCAN30	Not_significant	NA
100101478	-0.286745231755189	-2.34256386705482	-1.67901726103019	0.097625062411161	0.216786437586543	-4.75105064002381	H2BW3P	Not_significant	NA
10011	0.312350869172378	5.08196833359185	1.57177284253851	0.120530391056412	0.25207605251663	-5.59044690120407	SRA1	Not_significant	NA
100113380	-1.06385646695764	-2.98523718571127	-4.38407134580774	4.03159866782763e-05	0.000671282853454956	2.03180502747299	SNORD125	Downregulated	SNORD125
100113386	0.0347862125180671	0.100947932855831	0.209802556769795	0.834433606848454	0.900235508521099	-6.36118499907749	UCKL1-AS1	Not_significant	NA
100113393	0.648429931310608	-3.05342278412121	2.11224016069788	0.0382495960629234	0.11145585605163	-3.90360188634465	SNORD12B	Not_significant	NA
