pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.998799519807923	1	0.020562605901185	0.18013764525176	0.524935025489522	88	ABCD2,ABCB5,ABCD1,DERL3,ABCG1,ABCC6,ABCC9,ABCC4
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.683001531393568	1	0.0509082865515105	0.390269928294752	0.846665186976021	16	ABCD2,ABCD1,ABCG1
REACTOME_ABC_TRANSPORTER_DISORDERS	0.768115942028985	1	0.105125131597001	-0.244155495088367	-0.852292548705878	64	ABCC8,CFTR,ABCB11,ABCA12,ABCG5,RPS27A,RNF5,ABCC2,LMBRD1,PSMB7,ABCB4,ABCA3,UBA52,SEM1,PSMD6,KCNJ11,PSMC6,PSMB4,PSMC3,PSMD14,PSMD3,PSMC2,PSMB6,PSMD12,PSMD8,PSMC1,ADRM1,PSMB1,ABCB6,PSMA6,PSMD7
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.916053019145803	1	0.0356176233437444	0.272888316289556	0.622977957074769	20	RB1,UBE2D1,UBE2S,ANAPC11,CDC27,UBE2C,SKP2,ANAPC7,ANAPC1,UBE2E1,CDC23,CDC16,ANAPC10,ANAPC15,ANAPC5,ANAPC2,CDC26,FZR1,ANAPC4,ANAPC16
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.596676737160121	1	0.0565299525056311	0.41333648914729	0.907637836561658	17	E2F3,RB1,CCND3,CDKN1C,CDKN1A,CCNE1,CDK4
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.957654723127036	1	0.0707899094502623	-0.224401046909603	-0.626140566922581	23	POLR2I,GTF2F2,POLR2F,POLR2K,POLR2J,NELFA,NELFE,NCBP1,NELFB,POLR2C,CTDP1,POLR2H,NELFCD,POLR2E,SUPT5H,SUPT4H1,POLR2G,GTF2F1,NCBP2,POLR2B,POLR2L,POLR2D,POLR2A
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.805471124620061	1	0.0430173196927508	0.345469812496832	0.747427111850579	15	SNAP25,CPLX1,PPFIA2
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.109477124183007	0.444307489323287	0.170932335370056	0.692680307897262	1.38873473618926	10	PLCB2,MARCKS,PRKCA,GNA14,GNAQ
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.794943820224719	1	0.0400031517498194	0.306614746457713	0.756448176808827	30	ARRB2,DLL4,DTX1,NEURL1B,UBB,ARRB1,PSENEN,NOTCH1,DNER,ADAM10,NCSTN
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.908136482939633	1	0.0628003977812234	-0.271361364513857	-0.6147451946708	11	BDNF,NTF4,HRAS
